date,ndays,fit_y,fit_lower,fit_upper
2021-12-01,0,0.001153557166191706,0.000765028250994436,0.0015420860813889759
2021-12-02,1,0.0016932824435194188,0.001100490135909088,0.002309777248965685
2021-12-03,2,0.002484905664110262,0.0015828177317708401,0.003458321617334689
2021-12-04,3,0.00364526776871176,0.0022760602793835184,0.005175021080111601
2021-12-05,4,0.005344574331862805,0.003271934193907476,0.007737268200797767
2021-12-06,5,0.007829817770015417,0.00470149233496351,0.011553397443821023
2021-12-07,6,0.011457395183923554,0.00675141556490219,0.017219033340623222
2021-12-08,7,0.01673728799567381,0.00968643834820114,0.025591091243932274
2021-12-09,8,0.024390272852028577,0.013879565064528076,0.037876841537008175
2021-12-10,9,0.03541647980912107,0.019851453244275147,0.05572342888159127
2021-12-11,10,0.05116592676094706,0.028319044887467497,0.0812685877783003
2021-12-12,11,0.0733861928450002,0.04025014708880744,0.11707245907702293
2021-12-13,12,0.10419654993184573,0.05691351950578975,0.16580346038063026
2021-12-14,13,0.14590546795665507,0.07990113105034705,0.22954507175821431
2021-12-15,14,0.20057188719953378,0.11107994158801726,0.3087226985361314
2021-12-16,15,0.2692630361297513,0.15240994170689115,0.40099681654039326
2021-12-17,16,0.35114596882131144,0.20556167066967818,0.5008676844046657
2021-12-18,17,0.4428393099461287,0.27131612910024017,0.6006693644305089
2021-12-19,18,0.5386011196703886,0.3488674067409948,0.6927567337101305
2021-12-20,19,0.63159637480181,0.4353422183164661,0.7716802527575909
2021-12-21,20,0.7157405687611053,0.5259383263714148,0.8351544086478707
2021-12-22,21,0.7871430264123753,0.6148582912843613,0.8836431526023854
2021-12-23,22,0.8445065089644896,0.696717314868757,0.9192481869387354
2021-12-24,23,0.8885987889504999,0.7677497500387149,0.9446406959080362
2021-12-25,24,0.9213524876957655,0.826293411881981,0.962375311377935
2021-12-26,25,0.9450713701197638,0.8725300317547676,0.9745814340205635
2021-12-27,26,0.9619325520041194,0.9078323254554985,0.9828980413447866
2021-12-28,27,0.9737616341569202,0.9340962524929477,0.9885256055228022
2021-12-29,28,0.981983790441547,0.9532613709808369,0.992315842659867
2021-12-30,29,0.9876620654673517,0.9670497814549476,0.994860592867424
2021-12-31,30,0.9915660558400193,0.9768691622642455,0.9965655189726565
2022-01-01,31,0.9942419407221152,0.9838112894702569,0.9977061638595253
2022-01-02,32,0.9960721956052573,0.9886940291679274,0.9984685648791729
2022-01-03,33,0.9973222530950914,0.9921158688654438,0.9989778267164442
2022-01-04,34,0.9981751978951864,0.9945078152621906,0.9993178548517387
2022-01-05,35,0.9987567921990241,0.9961768715945194,0.9995448234366785
2022-01-06,36,0.9991531801337667,0.9973400639878948,0.9996962962377939
2022-01-07,37,0.9994232555873244,0.9981500106285053,0.9997973724233538
2022-01-08,38,0.9996072299935382,0.9987136477930416,0.9998648138140134
2022-01-09,39,0.9997325345221051,0.9991057152020684,0.9999098104271491
2022-01-10,40,0.9998178707133637,0.9993783587296947,0.9999398308551204
2022-01-11,41,0.9998759833457839,0.9995679164821071,0.9999598591089652
2022-01-12,42,0.9999155553421482,0.9996996895511242,0.9999732208195133
2022-01-13,43,0.9999425011887817,0.9997912840082328,0.9999821348928895
2022-01-14,44,0.9999608490939913,0.9998549462794845,0.9999880817448773
2022-01-15,45,0.9999733423277088,0.9998991923282443,0.9999920490527652
2022-01-16,46,0.9999818489855974,0.9999299428551228,0.9999946957438155
2022-01-17,47,0.9999876411403853,0.9999513136508298,0.9999964614142126
2022-01-18,48,0.9999915849811332,0.9999661655474821,0.9999976393330977
2022-01-19,49,0.9999942703084574,0.9999764869412072,0.99999842514881
2022-01-20,50,0.9999960987209227,0.9999836597860509,0.99999894938349
2022-01-21,51,0.9999973436668543,0.999988644522603,0.9999992991116461
2022-01-22,52,0.9999981913360111,0.9999921086302035,0.9999995324227032
2022-01-23,53,0.9999987685036626,0.9999945159812063,0.9999996880694191
2022-01-24,54,0.9999991614899401,0.999996188945542,0.9999997919046051
2022-01-25,55,0.9999994290693273,0.999997351553812,0.9999998611752277
2022-01-26,56,0.9999996112607102,0.9999981594950162,0.9999999073871048
2022-01-27,57,0.9999997353124751,0.9999987209640974,0.999999938216011
2022-01-28,58,0.999999819777715,0.9999991111501603,0.9999999587826159
2022-01-29,59,0.9999998772889991,0.9999993823051082,0.9999999725030261
2022-01-30,60,0.999999916447683,0.9999995707408262,0.999999981656197
2022-01-31,61,0.9999999431103198,0.9999997016918383,0.9999999877624678
2022-02-01,62,0.9999999612645611,0.9999997926945742,0.9999999918360879
2022-02-02,63,0.9999999736255465,0.9999998559357607,0.9999999945536846
2022-02-03,64,0.9999999820419799,0.999999899884412,0.9999999963666497
2022-02-04,65,0.999999987772619,0.9999999304259621,0.9999999975761165
2022-02-05,66,0.9999999916745365,0.9999999516504193,0.999999998382977
2022-02-06,67,0.9999999943313009,0.9999999664000823,0.9999999989212502
2022-02-07,68,0.999999996140257,0.9999999766501707,0.9999999992803437
2022-02-08,69,0.9999999973719516,0.9999999837733373,0.9999999995199023
2022-02-09,70,0.9999999982105963,0.9999999887234902,0.9999999996797169
2022-02-10,71,0.9999999987816184,0.9999999921635351,0.9999999997863325
2022-02-11,72,0.9999999991704198,0.9999999945541498,0.999999999857458
2022-02-12,73,0.9999999994351498,0.9999999962154766,0.9999999999049072
2022-02-13,74,0.999999999615401,0.9999999973699942,0.9999999999365616
2022-02-14,75,0.9999999997381315,0.9999999981723116,0.999999999957679
2022-02-15,76,0.9999999998216971,0.9999999987298716,0.9999999999717668
