,date,growth_rate,doubling_time,transmission_increase
estimate,2021-12-19,0.3843590577680583,1.803384534723845,2.1139748177243205
lower,2021-12-21,0.3639339501814006,1.9045960955674797,2.0016367259977033
upper,2021-12-17,0.40478416535471595,1.7123870938788681,2.2263129094509377
