Geography,Zip,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area)
ZCTA5 94568,94568,"46,016",15.3,"3,011"
ZCTA5 94569,94569,198,2.4,84
ZCTA5 94571,94571,"7,911",117.6,67
ZCTA5 94572,94572,"8,684",4.3,"2,000"
ZCTA5 94573,94573,94,1,94
ZCTA5 94574,94574,"8,742",127.8,68
ZCTA5 94575,94575,974,0.2,"5,815"
ZCTA5 94576,94576,164,0.4,444
ZCTA5 94577,94577,"45,560",8.1,"5,591"
ZCTA5 94578,94578,"38,558",4.4,"8,755"
ZCTA5 94579,94579,"20,571",3.1,"6,567"
ZCTA5 94580,94580,"27,152",3.4,"7,875"
ZCTA5 94582,94582,"38,537",13,"2,965"
ZCTA5 94583,94583,"34,859",15,"2,331"
ZCTA5 94585,94585,"28,263",112.4,251
ZCTA5 94586,94586,925,58.6,16
ZCTA5 94587,94587,"69,516",19.7,"3,525"
ZCTA5 94588,94588,"30,842",32.6,945
ZCTA5 94589,94589,"29,876",11.5,"2,607"
ZCTA5 94590,94590,"35,420",5.9,"5,959"
ZCTA5 94591,94591,"53,042",21.6,"2,458"
ZCTA5 94592,94592,742,4.2,175
ZCTA5 94595,94595,"16,425",5.4,"3,054"
ZCTA5 94596,94596,"20,037",6,"3,359"
ZCTA5 94597,94597,"20,277",3.9,"5,180"
ZCTA5 94598,94598,"25,818",15.2,"1,693"
ZCTA5 94599,94599,"3,021",2.9,"1,030"
ZCTA5 94601,94601,"50,294",3.2,"15,487"
ZCTA5 94602,94602,"28,329",3.3,"8,574"
ZCTA5 94603,94603,"31,403",3.3,"9,630"
ZCTA5 94605,94605,"39,016",9,"4,356"
ZCTA5 94606,94606,"36,672",2.3,"16,037"
ZCTA5 94607,94607,"24,978",5.9,"4,235"
ZCTA5 94608,94608,"28,019",2.7,"10,235"
ZCTA5 94609,94609,"20,596",1.7,"12,057"
ZCTA5 94610,94610,"29,287",2.2,"13,410"
ZCTA5 94611,94611,"36,565",10.6,"3,462"
ZCTA5 94612,94612,"14,389",0.9,"16,899"
ZCTA5 94613,94613,715,0.3,"2,820"
ZCTA5 94618,94618,"16,046",2.4,"6,616"
ZCTA5 94619,94619,"23,299",15.6,"1,489"
ZCTA5 94621,94621,"29,870",7.8,"3,840"
ZCTA5 94702,94702,"15,979",1.3,"12,543"
ZCTA5 94703,94703,"19,846",1.3,"14,852"
ZCTA5 94704,94704,"25,592",1.1,"23,930"
ZCTA5 94705,94705,"12,762",3.3,"3,862"
